2a00:1310:100::/48,GB,,,
2a00:1310:101::/48,FR,,,
2a00:1310:102::/48,DE,,,
2a00:1310:103::/48,IT,,,
2a00:1310:110::/48,DE,,,
2a00:1310:200::/48,DK,,,
2a00:1310:201::/48,FI,,,
2a00:1310:202::/48,SE,,,
2a00:1310:203::/48,NO,,,
2a00:1310:300::/48,AT,,,
2a00:1310:301::/48,CH,,,
2a00:1310:400::/48,BG,,,
2a00:1310:401::/48,HR,,,
2a00:1310:402::/48,CZ,,,
2a00:1310:403::/48,HU,,,
2a00:1310:404::/48,LT,,,
2a00:1310:405::/48,PL,,,
2a00:1310:406::/48,RO,,,
2a00:1310:407::/48,UA,,,
2a00:1310:408::/48,SK,,,
2a00:1310:409::/48,SI,,,
2a00:1310:40a::/48,GR,,,
2a00:1310:40b::/48,RS,,,
2a00:1310:40c::/48,LV,,,
2a00:1310:40d::/48,MK,,,
2a00:1310:40e::/48,BA,,,
2a00:1310:500::/48,TR,,,
2a00:1310:700::/48,ES,,,
2a00:1310:701::/48,PT,,,
2a00:1310:800::/48,BE,,,
2a00:1310:801::/48,NL,,,
2a00:1310:802::/48,BE,,,
2a00:1310:803::/48,BE,,,
2a00:1310:901::/48,IL,,,
2a00:1310:3fab::/48,GB,,,
2a00:1310:3fac::/48,GB,,,
2a00:1310:3fad:800::/56,SE,,,
2a00:1310::/32,,,,
195.2.40.0/28,GB,,,
195.2.40.16/31,SE,,,
195.2.40.20/31,DE,,,
195.2.40.24/31,ES,,,
195.2.40.28/31,FR,,,
195.2.40.32/31,BE,,,
195.2.40.36/31,NL,,,
195.2.40.40/31,CH,,,
195.2.40.44/31,IT,,,
195.2.40.48/31,HU,,,
195.2.40.52/31,PL,,,
195.2.40.56/31,TR,,,
195.2.41.0/24,GB,,,
195.2.36.0/23,GB,,,
195.2.38.0/23,GB,,,
